comb_name,comb_num,data_select_time,sp_time,sp_c_1,sp_c_2,sp_c_3,sp_c_4,nac_time,nbc_time,snac_time,kmnc_time,tknc_time,lsc_time,cov_nac,cov_nbc,cov_snac,cov_tknc,cov_kmnc,cov_lsc
,0,0.0,14.522424936294556,0.95903,0.68958,0.41697,0.19847,57.11867046356201,291.5319895744324,272.2857220172882,300.06706166267395,63.98404502868652,21.985969305038452,0.5300859598853869,0.10243553008595989,0.1361031518624642,0.5945558739255015,0.5704957020057306,0.265
bim,1,0.1580815315246582,13.117523670196533,0.96528,0.72205,0.43741,0.20951,59.08287262916565,40.00500202178955,39.17085313796997,39.683635234832764,57.96065616607666,9.862089157104492,0.5286532951289399,0.09240687679083094,0.12320916905444126,0.5916905444126075,0.5681045845272207,0.257
bim,1,0.14976906776428223,13.175665616989136,0.96528,0.71181,0.43576,0.20880,57.960092067718506,38.63060188293457,39.087754249572754,39.542839765548706,58.13247847557068,9.73103404045105,0.5272206303724928,0.10386819484240688,0.13753581661891118,0.5888252148997135,0.568067335243553,0.258
bim,1,0.1476457118988037,13.127545595169067,0.98194,0.71858,0.43398,0.20944,57.71219801902771,38.886335134506226,38.8385226726532,39.76977849006653,58.005873918533325,9.512899160385132,0.5272206303724928,0.09742120343839542,0.12893982808022922,0.5916905444126075,0.5683610315186246,0.263
bim,1,0.15140414237976074,13.141439199447632,0.97639,0.72500,0.43181,0.20821,58.196192502975464,38.87436819076538,39.094603538513184,39.94705843925476,58.65395951271057,9.027393102645874,0.5272206303724928,0.09169054441260745,0.11891117478510028,0.5873925501432665,0.5681404011461318,0.264
bim,1,0.14872980117797852,13.052067518234253,0.98333,0.72378,0.43533,0.20915,50.88608360290527,24.43686604499817,24.112929344177246,24.557260274887085,48.89184379577637,25.010857820510864,0.5286532951289399,0.10243553008595989,0.13896848137535817,0.5916905444126075,0.568487106017192,0.262
bim_pgd,2,0.25769662857055664,13.495193004608154,0.97778,0.71597,0.43021,0.20955,53.95757269859314,39.36277627944946,39.305296421051025,40.32911252975464,59.829453468322754,16.2071316242218,0.5286532951289399,0.08954154727793696,0.12034383954154727,0.5802292263610315,0.5663366762177651,0.255
bim_pgd,2,0.20419931411743164,13.130142450332642,0.97778,0.72170,0.43251,0.21022,60.375619649887085,39.93282437324524,40.21894145011902,41.05278015136719,60.812175273895264,10.812516450881958,0.5257879656160458,0.08237822349570201,0.09742120343839542,0.5902578796561605,0.5653767908309456,0.254
bim_pgd,2,0.2145552635192871,13.153603076934814,0.97778,0.72760,0.43516,0.20972,60.97670936584473,40.219486713409424,40.667689085006714,40.82662653923035,60.91519260406494,15.31058120727539,0.5286532951289399,0.08882521489971347,0.11891117478510028,0.5931232091690545,0.5664670487106017,0.261
bim_pgd,2,0.20165061950683594,13.112595796585083,0.97708,0.73281,0.43516,0.20953,60.29234981536865,39.63317847251892,39.13179421424866,40.11896991729736,60.25354218482971,16.10172438621521,0.5300859598853869,0.09383954154727794,0.12607449856733524,0.5945558739255015,0.5669169054441261,0.268
bim_pgd,2,0.20077776908874512,13.462049961090088,0.97778,0.72830,0.43655,0.21243,61.00352191925049,39.99683904647827,40.15812110900879,41.138041734695435,60.69594883918762,10.872417688369751,0.5300859598853869,0.09455587392550144,0.12607449856733524,0.5859598853868195,0.5669914040114613,0.263
bim_pgd_jsma,3,0.2796764373779297,13.208489894866943,0.98889,0.71962,0.43898,0.21459,60.893277168273926,40.080190896987915,40.39038562774658,40.725258588790894,61.319119691848755,14.171142578125,0.5286532951289399,0.09097421203438395,0.12034383954154727,0.5802292263610315,0.5651318051575931,0.262
bim_pgd_jsma,3,0.25905370712280273,13.280076742172241,0.99375,0.73455,0.44653,0.21879,60.80656433105469,40.34914255142212,40.014562368392944,40.91125416755676,61.14060711860657,14.927009344100952,0.5272206303724928,0.08595988538681948,0.10888252148997135,0.5873925501432665,0.5651031518624642,0.259
bim_pgd_jsma,3,0.2603895664215088,13.111642360687256,0.99861,0.74045,0.45026,0.22109,61.28583264350891,40.309144020080566,40.37467360496521,41.513192892074585,62.35293531417847,10.61884331703186,0.5286532951289399,0.08595988538681948,0.11031518624641834,0.5931232091690545,0.564202005730659,0.256
bim_pgd_jsma,3,0.2640693187713623,13.751998901367188,0.99375,0.73038,0.43681,0.21459,60.955533266067505,40.39968538284302,40.283942461013794,40.97386360168457,61.59088182449341,14.937031745910645,0.5257879656160458,0.08524355300859598,0.11318051575931232,0.5802292263610315,0.5638638968481375,0.256
bim_pgd_jsma,3,0.27590465545654297,13.153863430023193,0.98750,0.73472,0.44366,0.21908,61.34941363334656,40.55635738372803,40.17887330055237,41.04068875312805,61.538459062576294,14.575317621231079,0.5286532951289399,0.08022922636103152,0.10744985673352435,0.5902578796561605,0.5649914040114613,0.264
bim_pgd_jsma_ead,4,0.32693982124328613,13.223650932312012,1.00000,0.74549,0.45365,0.22715,60.44595170021057,39.20850896835327,39.46610975265503,40.190542459487915,60.538511514663696,13.099108457565308,0.5243553008595988,0.0680515759312321,0.08739255014326648,0.5859598853868195,0.562865329512894,0.26
bim_pgd_jsma_ead,4,0.33860063552856445,13.20612120628357,0.97153,0.73785,0.45369,0.22657,61.18299460411072,40.20260500907898,40.43062472343445,40.62105369567871,61.588130235672,14.01993703842163,0.5257879656160458,0.08452722063037249,0.10601719197707736,0.5830945558739254,0.563134670487106,0.261
bim_pgd_jsma_ead,4,0.3321058750152588,13.908501625061035,0.99444,0.73681,0.45091,0.22627,61.093708753585815,40.22766470909119,40.00960636138916,40.811734199523926,61.830634117126465,13.89715027809143,0.5257879656160458,0.07664756446991404,0.10744985673352435,0.5730659025787965,0.5626776504297994,0.265
bim_pgd_jsma_ead,4,0.31600260734558105,13.117635726928711,1.00000,0.74444,0.46163,0.23099,61.45582675933838,39.99828124046326,40.05984878540039,41.23776912689209,61.39689755439758,14.204260110855103,0.5300859598853869,0.07521489971346705,0.09169054441260745,0.5816618911174785,0.5623280802292263,0.254
bim_pgd_jsma_ead,4,0.3251688480377197,13.205793142318726,0.99444,0.75104,0.45486,0.22671,61.80758476257324,39.98327612876892,40.45546364784241,40.9593026638031,62.05069947242737,12.02875542640686,0.5257879656160458,0.07378223495702006,0.08882521489971347,0.5816618911174785,0.5632177650429799,0.272
bim_pgd_jsma_ead_fgsm,5,0.39715576171875,13.226993322372437,0.99375,0.75260,0.46094,0.23232,61.550875186920166,40.506356954574585,40.140273332595825,40.773792028427124,61.86387777328491,15.196622610092163,0.5530085959885387,0.15257879656160458,0.2349570200573066,0.5974212034383954,0.5616690544412607,0.272
bim_pgd_jsma_ead_fgsm,5,0.39722204208374023,13.195643424987793,0.99792,0.75625,0.46445,0.23544,61.032169342041016,39.121400356292725,39.08971929550171,40.42757606506348,60.712154388427734,14.01636791229248,0.5573065902578797,0.17120343839541546,0.25358166189111747,0.5916905444126075,0.5644627507163323,0.287
